name,descr,code
Australia,Commonwealth of Australia,AU
Canada,Canada,CA
China,People's Republic of China (PRC),CN
France,French Republic,FR
Germany,Federal Republic of Germany,DE
India,Republic of India,IN
Israel,State of Israel,IL
Myanmar,Republic of the Union of Myanmar,MM
United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB
United States,United States of America (USA),US
European Union,European Union,EU
Italy,Italy,IT
Singapore,Singapore,SG
Austria,Austria,AT
Sweden,Sweden,SE
Switzerland,Switzerland,CH
Russia,Russia,RU
Japan,Japan,JP
South Africa,South Africa,ZA
Spain,Spain,ES
Belgium,Belgium,BE
Slovenia,Slovenia,SI
Netherlands,Netherlands,NL
Mexico,Mexico,MX
Brazil,Brazil,BR
Cuba,Cuba,CU
Zimbabwe,Zimbabwe,ZW
Malaysia,Malaysia,MY
Thailand,Thailand,TH
